Galaxy,best_family,rmse,median_ape,simple_loss,ratio_loss,exp_loss,simple_params,ratio_params,exp_params,sr_equations_csv
CamB,simple,4.616823441597752,0.5335457208397473,21.315058690886517,27.610271032426997,21.315058690886517,[0.0],"[2.0, 0.0]","[0.0, -0.9]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_CamB.csv
D631-7,exp,3.875620394205446,0.0584338464292476,60.512873297547586,114.86733686296111,15.020433439981177,[5.254513999533875],"[0.3964792479407131, 0.2636904341566071]","[1.1448566053486615, 5.0]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_D631-7.csv
DDO064,exp,2.6205680311015094,0.04288190081531826,16.938220158017295,23.84690225922487,6.867376805631241,[2.7129344481811684],"[0.41653620751220677, 0.22923991234626315]","[4.349794120729465, -0.9]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_DDO064.csv
DDO154,exp,1.0954138277678345,0.017131143974991034,2.9457185337424683,895004.7754707822,1.199931454064979,[7.107248272471839],"[0.18831391622759672, 0.12837236172804645]","[6.223427675823775, -0.47139919587147566]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_DDO154.csv
DDO161,exp,1.909696676845181,0.02539758682033117,10.353692196588158,40.49393722769303,3.646941397553528,[2.9491333716968833],"[0.49684525763194237, 0.3157141888971474]","[1.2377766434443576, 1.5434588200469896]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_DDO161.csv
DDO168,exp,3.1979530935601574,0.05080626600826782,10.426140923420983,13.608799188031128,10.226903988610982,[2.984072453171007],"[0.35353460126620345, 0.14027213907111022]","[1.9956587158766261, -0.014408585465673562]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_DDO168.csv
DDO170,exp,3.2809115556960884,0.0660643881685726,20.437423904683335,16.22010965056339,10.764380636300128,[3.634215622329611],"[0.3691214671931482, 0.19893318268402968]","[4.02937267013483, -0.8821813202259429]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_DDO170.csv
ESO079-G014,ratio,8.213524634562942,0.07613455929324578,104.4972158863471,67.46198692257232,76.86764774928014,[0.9338597179753882],"[1.2517152513239067, 0.9958618483550064]","[1.884134334857428, -0.810516405842677]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_ESO079-G014.csv
ESO116-G012,exp,3.367356211884309,0.03350637437472312,15.15350516384569,757713.2163312734,11.33908785771584,[2.5934103891578877],"[0.4245187637582108, 0.2444234948327477]","[1.893003636358454, 0.25720455277212256]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_ESO116-G012.csv
ESO563-G021,exp,23.42200913147866,0.04083066784012563,719.1423861993679,553.7788048314686,548.5905117550697,[1.0383560323264338],"[0.7866107606376848, 0.24579324779394293]","[0.24160273259464934, 4.571958754681436]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_ESO563-G021.csv
F563-1,exp,17.49863032687124,0.09560393237968066,377.18726261858467,632.6985481733558,306.20206331649786,[9.345875784888669],"[0.15518125314658296, 0.10772069593584205]","[10.0, -0.6249067583789364]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F563-1.csv
F563-V2,exp,18.892769844666013,0.30104264080056076,425.83902369478164,630.3492947320075,356.9367524035214,[4.843941700478014],"[0.2980675707641269, 0.37711359184154236]","[8.720250755234082, -0.7561782151729475]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F563-V2.csv
F568-1,exp,16.507721610459217,0.15140906453763972,564.8723858173145,590.9003460838785,272.5048727684222,[5.785703068339054],"[0.21782891541389882, 0.1614794555795264]","[10.0, -0.8417563531917607]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F568-1.csv
F568-3,exp,5.810897600473351,0.06785417385962361,124.84544665272948,150.92123605252934,33.76653092318695,[3.2923122415077715],"[0.30670965820615553, 0.2484558883811585]","[10.0, -0.8098690673235834]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F568-3.csv
F568-V1,exp,18.86157186427273,0.22246415369725284,369.79450147782995,1086.519816572319,355.7588931911247,[8.435915568283864],"[0.2832364306974317, 0.26618368720376845]","[10.0, -0.46386150121328656]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F568-V1.csv
F571-8,ratio,29.33689016266316,0.11233221076147497,1455.3503832971198,860.6531244161625,966.0875447598098,[2.1593775541934623],"[0.1814602960460347, 0.0]","[0.7903989926740551, 5.0]",gravity_learn\experiments\pg_infer\run_20250926_105420\SR_F571-8.csv
