gal_id,vflat_obs_kms,M_bary_Msun
CamB_rotmod,18.450000000000003,
D512-2_rotmod,35.9,
D564-8_rotmod,25.0,
D631-7_rotmod,58.05,
DDO064_rotmod,46.4,
DDO154_rotmod,47.4,
DDO161_rotmod,66.6,
DDO168_rotmod,54.8,
DDO170_rotmod,61.1,
ESO079-G014_rotmod,176.0,
ESO116-G012_rotmod,110.5,
ESO444-G084_rotmod,62.900000000000006,
ESO563-G021_rotmod,313.0,
F561-1_rotmod,50.4,
F563-1_rotmod,111.5,
F563-V1_rotmod,27.3,
F563-V2_rotmod,118.0,
F565-V2_rotmod,80.8,
F567-2_rotmod,52.2,
F568-1_rotmod,133.0,
F568-3_rotmod,107.0,
F568-V1_rotmod,112.0,
F571-8_rotmod,140.0,
F571-V1_rotmod,84.1,
F574-1_rotmod,99.15,
F574-2_rotmod,40.0,
F579-V1_rotmod,114.0,
F583-1_rotmod,80.3,
F583-4_rotmod,67.2,
IC2574_rotmod,62.4,
IC4202_rotmod,243.0,
KK98-251_rotmod,33.75,
NGC0024_rotmod,107.0,
NGC0055_rotmod,86.15,
NGC0100_rotmod,88.25,
NGC0247_rotmod,105.0,
NGC0289_rotmod,167.0,
NGC0300_rotmod,93.7,
NGC0801_rotmod,216.0,
NGC0891_rotmod,216.0,
NGC1003_rotmod,111.0,
NGC1090_rotmod,162.0,
NGC1705_rotmod,71.5,
NGC2366_rotmod,50.0,
NGC2403_rotmod,134.0,
NGC2683_rotmod,155.0,
NGC2841_rotmod,283.0,
NGC2903_rotmod,183.5,
NGC2915_rotmod,82.2,
NGC2955_rotmod,257.0,
NGC2976_rotmod,81.75,
NGC2998_rotmod,213.0,
NGC3109_rotmod,66.2,
NGC3198_rotmod,149.0,
NGC3521_rotmod,210.0,
NGC3726_rotmod,168.0,
NGC3741_rotmod,50.05,
NGC3769_rotmod,118.0,
NGC3877_rotmod,170.0,
NGC3893_rotmod,176.0,
NGC3917_rotmod,137.0,
NGC3949_rotmod,167.0,
NGC3953_rotmod,219.5,
NGC3972_rotmod,134.0,
NGC3992_rotmod,239.0,
NGC4010_rotmod,124.0,
NGC4013_rotmod,178.0,
NGC4051_rotmod,153.5,
NGC4068_rotmod,41.9,
NGC4085_rotmod,134.5,
NGC4088_rotmod,171.0,
NGC4100_rotmod,159.0,
NGC4138_rotmod,148.5,
NGC4157_rotmod,185.0,
NGC4183_rotmod,110.5,
NGC4214_rotmod,80.5,
NGC4217_rotmod,178.0,
NGC4389_rotmod,110.0,
NGC4559_rotmod,122.0,
NGC5005_rotmod,265.0,
NGC5033_rotmod,193.5,
NGC5055_rotmod,179.0,
NGC5371_rotmod,208.0,
NGC5585_rotmod,90.6,
NGC5907_rotmod,216.0,
NGC5985_rotmod,292.0,
NGC6015_rotmod,156.0,
NGC6195_rotmod,254.5,
NGC6503_rotmod,115.0,
NGC6674_rotmod,242.0,
NGC6789_rotmod,60.4,
NGC6946_rotmod,159.0,
NGC7331_rotmod,238.5,
NGC7793_rotmod,109.0,
NGC7814_rotmod,214.0,
PGC51017_rotmod,18.3,
UGC00128_rotmod,131.0,
UGC00191_rotmod,82.425,
UGC00634_rotmod,107.5,
UGC00731_rotmod,73.9,
UGC00891_rotmod,63.75,
UGC01230_rotmod,103.0,
UGC01281_rotmod,55.0,
UGC02023_rotmod,58.8,
UGC02259_rotmod,89.15,
UGC02455_rotmod,57.05,
UGC02487_rotmod,330.0,
UGC02885_rotmod,298.0,
UGC02916_rotmod,210.5,
UGC02953_rotmod,265.5,
UGC03205_rotmod,220.0,
UGC03546_rotmod,194.0,
UGC03580_rotmod,116.0,
UGC04278_rotmod,86.3,
UGC04305_rotmod,34.85,
UGC04325_rotmod,92.1,
UGC04483_rotmod,24.25,
UGC04499_rotmod,73.8,
UGC05005_rotmod,99.4,
UGC05253_rotmod,245.0,
UGC05414_rotmod,61.4,
UGC05716_rotmod,73.0,
UGC05721_rotmod,78.44999999999999,
UGC05750_rotmod,77.6,
UGC05764_rotmod,50.0,
UGC05829_rotmod,65.6,
UGC05918_rotmod,43.55,
UGC05986_rotmod,110.5,
UGC05999_rotmod,100.0,
UGC06399_rotmod,86.6,
UGC06446_rotmod,83.2,
UGC06614_rotmod,204.0,
UGC06628_rotmod,42.3,
UGC06667_rotmod,85.35,
UGC06786_rotmod,226.0,
UGC06787_rotmod,245.0,
UGC06818_rotmod,71.25,
UGC06917_rotmod,110.0,
UGC06923_rotmod,81.1,
UGC06930_rotmod,108.0,
UGC06973_rotmod,179.0,
UGC06983_rotmod,108.0,
UGC07089_rotmod,77.6,
UGC07125_rotmod,65.1,
UGC07151_rotmod,74.0,
UGC07232_rotmod,44.0,
UGC07261_rotmod,75.4,
UGC07323_rotmod,82.8,
UGC07399_rotmod,103.0,
UGC07524_rotmod,79.6,
UGC07559_rotmod,31.6,
UGC07577_rotmod,16.85,
UGC07603_rotmod,63.0,
UGC07608_rotmod,67.65,
UGC07690_rotmod,56.4,
UGC07866_rotmod,31.85,
UGC08286_rotmod,83.5,
UGC08490_rotmod,77.9,
UGC08550_rotmod,57.5,
UGC08699_rotmod,182.0,
UGC08837_rotmod,47.3,
UGC09037_rotmod,153.0,
UGC09133_rotmod,229.5,
UGC09992_rotmod,34.3,
UGC10310_rotmod,72.80000000000001,
UGC11455_rotmod,272.0,
UGC11557_rotmod,81.6,
UGC11820_rotmod,81.25,
UGC11914_rotmod,284.0,
UGC12506_rotmod,233.0,
UGC12632_rotmod,73.05,
UGC12732_rotmod,93.15,
UGCA281_rotmod,29.15,
UGCA442_rotmod,57.15,
UGCA444_rotmod,35.25,
