galaxy,converged,chi2_reduced,r_half_kpc,sigma_bar_Msun_pc2,S0_eff,rc_eff_kpc,solve_time_sec
CamB,True,66.15934320987655,1.0755507946014404,19.489161608996977,0.66219795847045,5.122586228770096,0.022400856018066406
D512-2,True,84.76984652131557,1.7925846576690674,21.671929007001616,0.6982967869448752,5.970956435094697,0.02330493927001953
D564-8,True,120.26762294079673,1.7925846576690674,5.721676311305859,0.3588003860148172,5.970956435094697,0.02542901039123535
D631-7,True,390.02992341537663,3.5851693153381348,10.616196183762904,0.4887375718467584,7.351109657392715,0.022871971130371094
DDO064,True,49.31301917668727,1.434067726135254,23.953725659636355,0.7341381527626922,5.584327737938809,0.022545337677001953
DDO154,True,16748.585813610163,3.5851693153381348,5.446062896364797,0.3500520178033658,7.351109657392715,0.02782130241394043
DDO161,True,1585.5174206279378,7.528855323791504,8.14221977014328,0.4280186267304541,9.183721085840201,0.023681640625
DDO168,True,772.8041045575053,1.7925846576690674,17.69338716957769,0.6309526220846523,5.970956435094697,0.0425262451171875
DDO170,True,2248.27887323341,7.1703386306762695,7.35066949673318,0.4066817719993072,9.050277586584901,0.022466659545898438
ESO079-G014,True,2086.348448193645,7.8873724937438965,215.96477262486403,2.204360992228687,9.312787760955512,0.044129133224487305
ESO116-G012,True,1198.864322637066,2.868135452270508,172.76877221336707,1.971623030602138,6.875113896850418,0.024270296096801758
ESO444-G084,True,672.7834504230732,2.151101589202881,10.85710763458547,0.49425188090504324,6.306643417427908,0.022591352462768555
ESO563-G021,True,1497.7281305674685,5.019237041473389,792.477770542006,4.222647254649048,8.13188656625895,0.02390885353088379
F561-1,True,75.70973333333333,5.019237041473389,45.00802894517874,1.0063203522072488,8.13188656625895,0.02409839630126953
F563-1,True,69.69064340691789,9.679957389831543,12.030382061263486,0.5202726173636553,9.902891794245907,0.023610353469848633
F563-V1,True,25.77566666666667,4.302203178405762,18.416312022121815,0.643713461485575,7.764388810324859,0.022916555404663086
F563-V2,True,54.21200629253635,3.9436862468719482,62.79834060656429,1.1886810605236782,7.564334175593136,0.02395176887512207
F565-V2,True,104.7453139941691,4.302203178405762,13.199034654566653,0.5449571356792657,7.764388810324859,0.02204132080078125
F567-2,True,50.588992499999996,4.660719871520996,28.934668735954727,0.8068643297103804,7.953090057443149,0.023322343826293945
F568-1,True,97.08105859273981,6.453304767608643,44.174807029907065,0.9969619642558631,8.768688708635878,0.022984981536865234
F568-3,True,104.22719757149369,7.528855323791504,45.51905610221481,1.012017174903585,9.183721085840201,0.022907018661499023
F568-V1,True,98.90758882358217,6.09478759765625,41.484883163313846,0.9661313943633969,8.6196091309262,0.02332782745361328
F571-8,True,522.3423546512684,1.7925846576690674,919.2808092178735,4.547946592408727,5.970956435094697,0.022950410842895508
F571-V1,True,127.52837353417557,5.377753734588623,26.562498281083226,0.7730822797893977,8.301953053365546,0.02328348159790039
F574-1,True,341.4623551096305,5.736270904541016,54.7279654650535,1.1096752781619061,8.46425806521739,0.02272343635559082
F574-2,True,13.23802,5.736270904541016,24.784735465526825,0.7467640510725952,8.46425806521739,0.029021263122558594
F579-V1,True,93.2971472531435,5.736270904541016,103.34120206719079,1.5248531229307933,8.46425806521739,0.02311539649963379
F583-1,True,115.37953005062401,8.962923049926758,8.56561146741159,0.43900598858872164,9.676869857878339,0.022696256637573242
F583-4,True,139.26154155703324,2.868135452270508,62.45044981467563,1.185383955024785,6.875113896850418,0.029645442962646484
IC2574,True,1708.5117751300272,5.019237041473389,15.905172437496944,0.5982193409140841,8.13188656625895,0.022867441177368164
IC4202,True,1785.9077854930579,5.736270904541016,903.4422494862159,4.508597410885104,8.46425806521739,0.02203226089477539
KK98-251,True,141.70519499999997,1.7925846576690674,8.86047457252239,0.44649823950577205,5.970956435094697,0.02272319793701172
NGC0024,True,258.7997448941761,2.868135452270508,186.7986141546766,2.0501143427819395,6.875113896850418,0.022635698318481445
NGC0055,True,857.8488320303144,6.453304767608643,34.404774607078096,0.8798337505797656,8.768688708635878,0.023510217666625977
NGC0100,True,214.01556714092436,2.868135452270508,115.18865144702232,1.6098896414220456,6.875113896850418,0.02314305305480957
NGC0247,True,1323.5777693438245,6.09478759765625,56.40762121235183,1.1265751094702547,8.6196091309262,0.02287578582763672
NGC0289,True,757.4724002762761,1.7925846576690674,653.8397190308228,3.835543465819872,5.970956435094697,0.023530244827270508
NGC0300,True,496.2857031897975,3.2266523838043213,87.55705390824455,1.403578894446444,7.122388416491358,0.023904085159301758
NGC0801,True,2529.635433038665,3.2266523838043213,1172.824974029895,5.136979843806342,7.122388416491358,0.023500442504882812
NGC0891,True,4354.7619377443025,2.868135452270508,4649.865973449436,10.22848886212486,6.875113896850418,0.022441864013671875
NGC1003,True,1842.315737981078,3.9436862468719482,98.52021902319672,1.4888602782067653,7.564334175593136,0.022333145141601562
NGC1090,True,2654.5134015837434,4.302203178405762,543.8732715818277,3.498163605463747,7.764388810324859,0.028534412384033203
NGC1705,True,247.745364936806,1.0755507946014404,193.37611247757496,2.085896097782782,5.122586228770096,0.022866487503051758
NGC2366,True,462.6503397167947,2.151101589202881,25.134171523356056,0.7520098797725409,6.306643417427908,0.022752046585083008
NGC2403,True,20673.397967881974,2.868135452270508,409.66074186477454,3.0360116422631562,6.875113896850418,0.023304462432861328
NGC2683,True,653.0958838383838,2.5096185207366943,1120.7561751632206,5.021654502369957,6.605144350340913,0.02303314208984375
NGC2841,True,3009.6021661323507,2.5096185207366943,681.9811960053397,3.9172154536252077,6.605144350340913,0.0228579044342041
NGC2903,True,8829.442275326799,2.151101589202881,3156.965399843101,8.428031887485343,6.306643417427908,0.0231473445892334
NGC2915,True,116.01930663363919,2.5096185207366943,55.14439979746067,1.1138891306781233,6.605144350340913,0.022930145263671875
NGC2955,True,1350.8587594782723,3.2266523838043213,2614.375348281518,7.669644407424255,7.122388416491358,0.02343010902404785
