Complexity,Loss,Equation
1,0.42950982,"3.6509507"
4,0.4067501,"sqrt(x0) + 3.0329752"
5,0.22926597,"(0.21114118 / x2) + 4.0696244"
6,0.21710023,"abs(x2 * x1) + 3.0408611"
7,0.105884925,"(0.34257996 / x2) + (4.7981215 - x0)"
8,0.07933084,"(0.7240505 / x2) + (3.8375566 - log(x0))"
9,0.07220672,"(((x1 - -0.10661581) * x2) * -2.3657885) + 1.8695397"
10,0.029285967,"exp(x1 * ((x1 * -1.1288304) - -2.1341193)) + 2.1293368"
12,0.022901822,"exp(x1 * (x1 * ((x1 * -1.419253) - -2.3074915))) + 2.5647843"
13,0.017404208,"exp((((x1 * -1.3278568) - -2.2680628) * sqrt(x1)) * x1) + 2.4207058"
15,0.01248269,"exp((((x1 * -1.031109) - -1.6755267) * x1) * log(x1 * 4.2020617)) + 2.6088653"
16,0.0072978474,"exp(x1 * (abs(log(x1 * 4.5013065)) * ((x1 * -0.97893596) - -1.6142957))) + 2.5287607"
18,0.0067541786,"(exp(x1 * (((x1 * -1.0602975) - -1.7468818) * abs(log(x1 * 4.509742)))) * 0.91781193) + 2.5929618"
